Type of Food,Number of Guests,Event Type,Quantity of Food,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Fruits,250,Social Gathering,350,All Seasons,Buffet,Suburban,Moderate,20
Baked Goods,300,Wedding,400,Summer,Sit-down Dinner,Suburban,High,40
Vegetables,250,Corporate,350,Summer,Finger Food,Suburban,Moderate,20
Baked Goods,300,Birthday,400,Winter,Finger Food,Suburban,Moderate,25
Vegetables,300,Wedding,400,Summer,Finger Food,Suburban,Moderate,25
Dairy Products,280,Social Gathering,350,Winter,Buffet,Urban,Low,20
Baked Goods,432,Wedding,477,Winter,Sit-down Dinner,Suburban,Low,23
Vegetables,300,Social Gathering,400,Summer,Finger Food,Rural,Low,20
Dairy Products,300,Wedding,400,Winter,Sit-down Dinner,Rural,High,40
Dairy Products,320,Corporate,480,All Seasons,Buffet,Suburban,High,40
Vegetables,320,Social Gathering,400,Winter,Sit-down Dinner,Urban,High,35
Dairy Products,300,Corporate,400,Winter,Finger Food,Urban,Moderate,15
Baked Goods,400,Corporate,500,Summer,Sit-down Dinner,Suburban,High,40
Meat,350,Social Gathering,450,Summer,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,320,Corporate,400,Summer,Finger Food,Suburban,Moderate,25
Meat,220,Social Gathering,300,Winter,Finger Food,Rural,Moderate,15
Dairy Products,275,Wedding,388,All Seasons,Finger Food,Suburban,Low,16
Vegetables,350,Wedding,450,Winter,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,320,Birthday,400,Winter,Finger Food,Suburban,Moderate,25
Fruits,380,Wedding,500,All Seasons,Sit-down Dinner,Suburban,High,35
Dairy Products,400,Birthday,500,Winter,Finger Food,Suburban,High,40
Vegetables,300,Social Gathering,400,Summer,Finger Food,Rural,Moderate,25
Baked Goods,275,Birthday,388,All Seasons,Finger Food,Suburban,Low,16
Baked Goods,400,Corporate,350,Summer,Sit-down Dinner,Suburban,High,35
Meat,250,Social Gathering,350,Winter,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,434,Wedding,495,Summer,Sit-down Dinner,Suburban,Low,36
Baked Goods,320,Social Gathering,400,All Seasons,Buffet,Rural,High,30
Baked Goods,400,Corporate,500,All Seasons,Sit-down Dinner,Urban,Low,25
Fruits,220,Social Gathering,300,Summer,Finger Food,Suburban,Moderate,15
Baked Goods,280,Social Gathering,350,Summer,Finger Food,Suburban,Low,20
Baked Goods,300,Wedding,400,Winter,Sit-down Dinner,Suburban,Moderate,15
Baked Goods,220,Corporate,300,Summer,Finger Food,Suburban,Moderate,15
Fruits,280,Social Gathering,350,All Seasons,Finger Food,Rural,Moderate,15
Dairy Products,261,Wedding,350,Winter,Sit-down Dinner,Suburban,Moderate,23
Dairy Products,275,Social Gathering,388,Summer,Finger Food,Suburban,Low,16
Dairy Products,400,Corporate,500,Summer,Sit-down Dinner,Suburban,High,50
Vegetables,380,Social Gathering,480,All Seasons,Buffet,Suburban,Moderate,30
Dairy Products,280,Birthday,350,All Seasons,Finger Food,Suburban,Moderate,20
Baked Goods,400,Social Gathering,500,All Seasons,Finger Food,Suburban,High,40
Dairy Products,220,Corporate,300,All Seasons,Finger Food,Suburban,Moderate,15
Fruits,350,Social Gathering,450,All Seasons,Sit-down Dinner,Rural,Moderate,15
Dairy Products,350,Birthday,450,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,220,Social Gathering,300,All Seasons,Finger Food,Suburban,Moderate,15
Baked Goods,220,Social Gathering,450,All Seasons,Finger Food,Rural,Low,20
Baked Goods,220,Social Gathering,300,Winter,Finger Food,Rural,Moderate,15
Meat,208,Social Gathering,282,Summer,Sit-down Dinner,Suburban,Moderate,22
Dairy Products,250,Wedding,350,All Seasons,Sit-down Dinner,Suburban,High,34
Dairy Products,280,Social Gathering,350,All Seasons,Finger Food,Rural,Low,20
Dairy Products,350,Birthday,450,All Seasons,Sit-down Dinner,Suburban,High,45
Baked Goods,250,Social Gathering,350,Winter,Sit-down Dinner,Suburban,High,40
Dairy Products,400,Corporate,500,All Seasons,Sit-down Dinner,Suburban,Low,25
Baked Goods,270,Social Gathering,400,All Seasons,Sit-down Dinner,Urban,High,40
Dairy Products,250,Corporate,350,All Seasons,Sit-down Dinner,Urban,Moderate,25
Dairy Products,250,Wedding,350,All Seasons,Sit-down Dinner,Suburban,Moderate,20
Dairy Products,208,Social Gathering,282,Winter,Sit-down Dinner,Urban,Moderate,22
Baked Goods,350,Social Gathering,450,All Seasons,Sit-down Dinner,Suburban,High,35
Dairy Products,250,Social Gathering,350,All Seasons,Sit-down Dinner,Suburban,Moderate,20
Dairy Products,250,Social Gathering,350,All Seasons,Sit-down Dinner,Suburban,Moderate,20
Dairy Products,250,Social Gathering,350,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Meat,302,Birthday,371,Winter,Buffet,Suburban,Low,27
Meat,430,Wedding,477,All Seasons,Buffet,Urban,Low,29
Meat,400,Birthday,450,Summer,Buffet,Urban,Moderate,30
Meat,220,Wedding,300,Summer,Sit-down Dinner,Urban,Low,15
Meat,350,Wedding,450,Summer,Sit-down Dinner,Urban,High,35
Meat,250,Wedding,350,All Seasons,Buffet,Rural,Moderate,20
Meat,290,Corporate,374,Winter,Finger Food,Urban,Low,27
Meat,220,Birthday,450,Winter,Finger Food,Rural,Low,20
Meat,300,Corporate,400,Winter,Sit-down Dinner,Urban,Low,20
Meat,240,Corporate,450,Winter,Sit-down Dinner,Urban,Low,20
Meat,442,Corporate,482,Summer,Sit-down Dinner,Urban,Low,32
Meat,300,Wedding,400,Winter,Sit-down Dinner,Rural,Low,20
Meat,400,Corporate,500,Winter,Sit-down Dinner,Urban,High,50
Vegetables,491,Birthday,497,Summer,Finger Food,Rural,High,32
Meat,220,Birthday,300,Summer,Finger Food,Suburban,Moderate,20
Meat,350,Birthday,450,Winter,Sit-down Dinner,Suburban,High,45
Meat,300,Social Gathering,400,All Seasons,Buffet,Rural,High,40
Vegetables,302,Social Gathering,371,Summer,Buffet,Rural,Low,27
Meat,350,Corporate,450,Winter,Sit-down Dinner,Rural,Moderate,25
Meat,300,Corporate,400,Summer,Sit-down Dinner,Urban,Moderate,15
Fruits,450,Corporate,500,Winter,Finger Food,Urban,High,30
Meat,434,Corporate,495,Summer,Sit-down Dinner,Suburban,Low,36
Meat,250,Corporate,350,All Seasons,Sit-down Dinner,Urban,High,40
Meat,450,Birthday,500,Summer,Finger Food,Urban,High,30
Meat,434,Wedding,495,Winter,Sit-down Dinner,Rural,Low,36
Meat,280,Birthday,350,Winter,Finger Food,Rural,Low,15
Meat,280,Corporate,480,Winter,Sit-down Dinner,Urban,Low,15
Meat,280,Corporate,350,Winter,Finger Food,Rural,Low,15
Meat,429,Corporate,496,Summer,Sit-down Dinner,Urban,Low,42
Meat,320,Corporate,400,Winter,Finger Food,Urban,Moderate,25
Meat,400,Corporate,500,Summer,Sit-down Dinner,Urban,High,45
Fruits,220,Corporate,300,Summer,Finger Food,Urban,Moderate,20
Dairy Products,220,Birthday,300,Winter,Sit-down Dinner,Urban,Low,15
Fruits,250,Social Gathering,350,Winter,Buffet,Rural,Moderate,20
Dairy Products,300,Corporate,400,Summer,Buffet,Suburban,High,30
Dairy Products,400,Wedding,500,All Seasons,Buffet,Rural,High,30
Baked Goods,430,Social Gathering,477,Winter,Buffet,Urban,Low,29
Fruits,300,Birthday,400,Summer,Finger Food,Suburban,Moderate,20
Fruits,320,Corporate,400,All Seasons,Buffet,Rural,Moderate,25
Baked Goods,280,Wedding,350,Winter,Finger Food,Urban,Moderate,20
Vegetables,350,Birthday,450,Summer,Sit-down Dinner,Urban,High,35
Meat,453,Social Gathering,484,Summer,Sit-down Dinner,Suburban,High,54
Vegetables,300,Wedding,400,All Seasons,Sit-down Dinner,Suburban,Low,20
Baked Goods,320,Corporate,400,Winter,Finger Food,Urban,Moderate,25
Dairy Products,320,Birthday,400,All Seasons,Buffet,Suburban,High,30
Baked Goods,300,Corporate,400,All Seasons,Buffet,Suburban,High,40
Meat,350,Wedding,450,All Seasons,Buffet,Suburban,High,40
Baked Goods,250,Corporate,350,Summer,Buffet,Urban,Low,10
Meat,220,Wedding,300,Winter,Finger Food,Suburban,Moderate,20
Meat,220,Birthday,300,Summer,Finger Food,Suburban,Moderate,15
Meat,250,Corporate,350,Winter,Buffet,Urban,Low,10
Fruits,250,Corporate,350,Winter,Buffet,Urban,Low,10
Meat,220,Corporate,300,Summer,Finger Food,Urban,Moderate,15
Meat,270,Corporate,400,Summer,Sit-down Dinner,Urban,High,40
Meat,280,Birthday,350,All Seasons,Finger Food,Urban,Moderate,20
Fruits,300,Wedding,400,Summer,Sit-down Dinner,Urban,High,40
Dairy Products,320,Birthday,400,Winter,Buffet,Rural,High,40
Baked Goods,280,Birthday,400,Summer,Buffet,Urban,Moderate,25
Vegetables,450,Corporate,500,Summer,Finger Food,Suburban,High,30
Meat,280,Birthday,480,Winter,Sit-down Dinner,Suburban,Low,15
Meat,380,Corporate,480,Summer,Buffet,Suburban,Moderate,30
Vegetables,320,Birthday,480,All Seasons,Buffet,Rural,High,40
Meat,350,Wedding,450,Winter,Sit-down Dinner,Suburban,High,35
Meat,350,Wedding,450,Summer,Sit-down Dinner,Rural,Moderate,25
Vegetables,220,Social Gathering,300,Summer,Finger Food,Rural,Moderate,20
Dairy Products,220,Social Gathering,300,Winter,Buffet,Suburban,Low,10
Baked Goods,310,Social Gathering,350,Summer,Finger Food,Urban,High,35
Baked Goods,220,Corporate,300,Summer,Finger Food,Suburban,Moderate,15
Baked Goods,280,Birthday,350,All Seasons,Finger Food,Urban,Moderate,20
Meat,400,Wedding,500,All Seasons,Sit-down Dinner,Suburban,Low,25
Meat,250,Wedding,350,Winter,Sit-down Dinner,Rural,Moderate,20
Meat,280,Social Gathering,350,All Seasons,Finger Food,Urban,Low,20
Vegetables,350,Wedding,450,Summer,Sit-down Dinner,Suburban,High,45
Meat,400,Social Gathering,500,Winter,Finger Food,Rural,High,40
Baked Goods,400,Corporate,500,All Seasons,Sit-down Dinner,Urban,High,40
Dairy Products,250,Social Gathering,480,Summer,Finger Food,Urban,Low,20
Dairy Products,320,Wedding,400,All Seasons,Sit-down Dinner,Rural,High,35
Dairy Products,350,Wedding,450,All Seasons,Finger Food,Rural,Moderate,20
Dairy Products,400,Wedding,500,All Seasons,Sit-down Dinner,Rural,High,50
Baked Goods,300,Social Gathering,400,All Seasons,Buffet,Suburban,High,40
Baked Goods,250,Birthday,350,Winter,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,350,Wedding,450,All Seasons,Sit-down Dinner,Rural,Moderate,25
Baked Goods,250,Corporate,350,Summer,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,320,Birthday,400,All Seasons,Finger Food,Suburban,Moderate,25
Fruits,280,Social Gathering,350,All Seasons,Finger Food,Rural,Moderate,15
Baked Goods,247,Corporate,348,All Seasons,Finger Food,Suburban,Moderate,16
Dairy Products,400,Corporate,500,All Seasons,Sit-down Dinner,Urban,High,50
Dairy Products,380,Wedding,500,All Seasons,Sit-down Dinner,Suburban,High,35
Fruits,400,Social Gathering,500,All Seasons,Sit-down Dinner,Suburban,High,50
Fruits,250,Wedding,350,Winter,Sit-down Dinner,Rural,Moderate,20
Meat,320,Social Gathering,400,Summer,Finger Food,Urban,Moderate,25
Meat,320,Corporate,400,All Seasons,Finger Food,Urban,Moderate,25
Fruits,280,Birthday,350,All Seasons,Finger Food,Rural,Moderate,20
Baked Goods,220,Corporate,300,Summer,Finger Food,Suburban,Low,15
Vegetables,290,Wedding,374,Summer,Finger Food,Rural,Low,27
Fruits,488,Corporate,498,Summer,Finger Food,Rural,High,63
Vegetables,220,Birthday,300,Winter,Finger Food,Suburban,Low,15
Meat,350,Wedding,450,All Seasons,Sit-down Dinner,Urban,High,35
Fruits,300,Wedding,400,Winter,Sit-down Dinner,Urban,High,40
Fruits,400,Corporate,450,All Seasons,Buffet,Urban,Moderate,30
Fruits,342,Birthday,405,All Seasons,Finger Food,Rural,Moderate,29
Meat,292,Social Gathering,470,Summer,Sit-down Dinner,Urban,High,50
Fruits,320,Wedding,400,All Seasons,Finger Food,Suburban,Low,15
Meat,350,Corporate,450,Summer,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,380,Corporate,400,All Seasons,Finger Food,Suburban,Moderate,25
Baked Goods,250,Social Gathering,350,All Seasons,Finger Food,Urban,Moderate,20
Baked Goods,247,Social Gathering,348,All Seasons,Finger Food,Rural,Moderate,16
Dairy Products,397,Wedding,482,All Seasons,Sit-down Dinner,Suburban,Moderate,31
Dairy Products,300,Social Gathering,400,Summer,Sit-down Dinner,Suburban,Moderate,15
Baked Goods,280,Wedding,350,Winter,Finger Food,Urban,Low,15
Baked Goods,320,Corporate,480,Summer,Buffet,Suburban,High,40
Vegetables,280,Birthday,350,Summer,Finger Food,Urban,Moderate,20
Baked Goods,220,Corporate,300,Winter,Finger Food,Urban,Low,15
Baked Goods,434,Wedding,495,Winter,Sit-down Dinner,Urban,Low,36
Meat,300,Corporate,400,All Seasons,Finger Food,Suburban,Moderate,15
Dairy Products,300,Corporate,400,All Seasons,Buffet,Suburban,High,30
Baked Goods,220,Birthday,300,Summer,Finger Food,Suburban,Moderate,20
Baked Goods,275,Birthday,388,All Seasons,Finger Food,Suburban,Low,16
Baked Goods,400,Wedding,500,All Seasons,Sit-down Dinner,Rural,High,40
Vegetables,250,Social Gathering,480,Summer,Finger Food,Rural,Low,20
Fruits,300,Social Gathering,400,All Seasons,Buffet,Suburban,High,40
Fruits,350,Corporate,450,Winter,Sit-down Dinner,Suburban,High,40
Vegetables,342,Corporate,405,Winter,Finger Food,Rural,Moderate,29
Baked Goods,320,Birthday,480,All Seasons,Buffet,Suburban,High,40
Fruits,488,Social Gathering,498,Winter,Finger Food,Rural,High,63
Baked Goods,280,Corporate,350,Winter,Sit-down Dinner,Urban,Low,25
Baked Goods,280,Birthday,350,Winter,Finger Food,Rural,Moderate,20
Fruits,280,Corporate,480,Summer,Sit-down Dinner,Urban,Moderate,15
Dairy Products,300,Wedding,400,Summer,Finger Food,Suburban,Low,20
Meat,300,Social Gathering,450,All Seasons,Finger Food,Suburban,High,35
Dairy Products,280,Wedding,480,Summer,Sit-down Dinner,Urban,Low,15
Fruits,439,Social Gathering,459,All Seasons,Buffet,Suburban,Low,39
Dairy Products,380,Wedding,480,Summer,Sit-down Dinner,Urban,Low,10
Baked Goods,400,Corporate,500,All Seasons,Sit-down Dinner,Urban,Low,25
Baked Goods,247,Birthday,348,All Seasons,Finger Food,Rural,Moderate,16
Baked Goods,220,Corporate,300,All Seasons,Finger Food,Rural,Moderate,15
Dairy Products,280,Social Gathering,350,Winter,Finger Food,Rural,Low,15
Dairy Products,280,Wedding,480,All Seasons,Sit-down Dinner,Urban,Low,15
Baked Goods,400,Corporate,500,Summer,Sit-down Dinner,Urban,High,50
Vegetables,400,Corporate,500,Winter,Sit-down Dinner,Suburban,High,40
Dairy Products,320,Social Gathering,400,Summer,Buffet,Rural,High,40
Fruits,250,Wedding,350,All Seasons,Sit-down Dinner,Urban,Moderate,20
Fruits,438,Corporate,493,Winter,Sit-down Dinner,Suburban,Moderate,35
Baked Goods,220,Social Gathering,300,Summer,Finger Food,Rural,Low,15
Fruits,320,Birthday,400,All Seasons,Finger Food,Suburban,Moderate,25
Meat,250,Social Gathering,350,Winter,Sit-down Dinner,Suburban,Moderate,20
Fruits,400,Corporate,350,All Seasons,Sit-down Dinner,Suburban,High,35
Vegetables,350,Corporate,450,All Seasons,Sit-down Dinner,Urban,Moderate,25
Baked Goods,220,Wedding,300,All Seasons,Finger Food,Suburban,Moderate,15
Dairy Products,350,Corporate,450,All Seasons,Finger Food,Suburban,Low,20
Dairy Products,350,Birthday,450,All Seasons,Finger Food,Suburban,High,30
Dairy Products,300,Birthday,450,All Seasons,Finger Food,Suburban,High,35
Dairy Products,400,Corporate,500,All Seasons,Finger Food,Suburban,High,40
Dairy Products,488,Corporate,498,All Seasons,Finger Food,Urban,High,63
Dairy Products,350,Corporate,450,Winter,Sit-down Dinner,Suburban,High,35
Vegetables,230,Social Gathering,500,Winter,Sit-down Dinner,Urban,Moderate,30
Dairy Products,250,Wedding,350,All Seasons,Sit-down Dinner,Urban,High,40
Baked Goods,320,Birthday,400,All Seasons,Finger Food,Suburban,Moderate,25
Baked Goods,208,Wedding,282,All Seasons,Sit-down Dinner,Urban,Moderate,22
Baked Goods,350,Social Gathering,350,Winter,Sit-down Dinner,Rural,High,35
Baked Goods,220,Social Gathering,300,Winter,Finger Food,Rural,Moderate,20
Dairy Products,350,Corporate,450,All Seasons,Finger Food,Urban,Moderate,20
Dairy Products,240,Social Gathering,450,Summer,Sit-down Dinner,Urban,Low,20
Baked Goods,350,Social Gathering,450,Winter,Sit-down Dinner,Urban,High,35
Baked Goods,220,Birthday,300,All Seasons,Finger Food,Suburban,Moderate,15
Dairy Products,220,Corporate,300,All Seasons,Finger Food,Urban,Moderate,15
Dairy Products,400,Corporate,400,All Seasons,Sit-down Dinner,Urban,High,40
Dairy Products,350,Wedding,450,All Seasons,Sit-down Dinner,Suburban,High,40
Baked Goods,250,Social Gathering,350,All Seasons,Buffet,Rural,Moderate,20
Meat,350,Social Gathering,450,Winter,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,350,Corporate,450,Winter,Sit-down Dinner,Suburban,Moderate,30
Dairy Products,300,Birthday,400,All Seasons,Finger Food,Suburban,Moderate,15
Dairy Products,280,Social Gathering,350,Summer,Sit-down Dinner,Urban,Low,25
Dairy Products,280,Social Gathering,350,All Seasons,Finger Food,Rural,Low,15
Dairy Products,453,Birthday,484,All Seasons,Sit-down Dinner,Suburban,High,54
Dairy Products,320,Birthday,400,All Seasons,Finger Food,Suburban,Moderate,25
Fruits,220,Social Gathering,300,All Seasons,Finger Food,Suburban,Moderate,15
Baked Goods,208,Birthday,282,All Seasons,Sit-down Dinner,Suburban,Moderate,22
Dairy Products,220,Corporate,300,All Seasons,Finger Food,Suburban,Moderate,15
Dairy Products,300,Corporate,400,All Seasons,Finger Food,Suburban,Moderate,15
Dairy Products,280,Social Gathering,350,All Seasons,Finger Food,Rural,Moderate,20
Meat,320,Wedding,400,Winter,Buffet,Rural,High,30
Meat,300,Birthday,400,Summer,Buffet,Suburban,High,40
Meat,302,Wedding,371,All Seasons,Buffet,Suburban,Low,27
Meat,250,Wedding,350,Summer,Finger Food,Suburban,High,35
Fruits,320,Social Gathering,480,Winter,Buffet,Rural,High,40
Meat,320,Corporate,400,Winter,Finger Food,Urban,Moderate,25
Baked Goods,284,Birthday,443,Summer,Buffet,Urban,Low,32
Meat,280,Wedding,350,All Seasons,Finger Food,Rural,Low,20
Meat,453,Wedding,484,Summer,Sit-down Dinner,Suburban,High,54
Meat,400,Birthday,500,Summer,Sit-down Dinner,Suburban,Low,25
Meat,320,Social Gathering,400,Summer,Buffet,Rural,High,30
Vegetables,434,Wedding,495,Summer,Sit-down Dinner,Urban,Low,36
Meat,300,Corporate,400,All Seasons,Finger Food,Rural,Moderate,15
Fruits,220,Corporate,300,Summer,Finger Food,Urban,Moderate,20
Vegetables,400,Corporate,500,Summer,Sit-down Dinner,Urban,High,45
Meat,300,Corporate,400,Winter,Finger Food,Suburban,Moderate,25
Meat,300,Wedding,400,All Seasons,Sit-down Dinner,Rural,Moderate,25
Fruits,412,Birthday,478,Summer,Sit-down Dinner,Suburban,Low,38
Fruits,491,Birthday,497,All Seasons,Finger Food,Suburban,High,32
Meat,300,Social Gathering,400,Winter,Sit-down Dinner,Suburban,Low,20
Fruits,270,Birthday,400,All Seasons,Sit-down Dinner,Suburban,High,40
Baked Goods,220,Wedding,300,Winter,Finger Food,Rural,Moderate,15
Baked Goods,400,Wedding,500,Winter,Sit-down Dinner,Rural,High,45
Dairy Products,250,Corporate,350,All Seasons,Buffet,Urban,Low,10
Baked Goods,400,Corporate,500,Winter,Sit-down Dinner,Rural,Low,25
Vegetables,300,Corporate,400,Summer,Finger Food,Rural,Moderate,15
Dairy Products,380,Wedding,480,Winter,Buffet,Suburban,Moderate,30
Dairy Products,320,Corporate,400,All Seasons,Buffet,Rural,High,35
Baked Goods,280,Birthday,350,All Seasons,Finger Food,Rural,Low,15
Vegetables,350,Social Gathering,450,Summer,Finger Food,Suburban,Low,20
Baked Goods,220,Social Gathering,300,Winter,Buffet,Suburban,Low,10
Dairy Products,320,Wedding,400,Summer,Finger Food,Rural,Moderate,25
Fruits,220,Birthday,300,All Seasons,Finger Food,Suburban,Moderate,15
Baked Goods,350,Birthday,450,Winter,Sit-down Dinner,Suburban,High,45
Baked Goods,412,Corporate,478,Winter,Sit-down Dinner,Suburban,Low,38
Baked Goods,220,Social Gathering,300,Winter,Finger Food,Rural,Low,15
Fruits,350,Wedding,450,All Seasons,Sit-down Dinner,Urban,Moderate,25
Vegetables,320,Birthday,400,All Seasons,Finger Food,Suburban,Moderate,25
Vegetables,350,Corporate,450,Winter,Sit-down Dinner,Suburban,Moderate,25
Vegetables,250,Wedding,350,Summer,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,320,Social Gathering,400,All Seasons,Buffet,Rural,High,30
Fruits,429,Social Gathering,496,Winter,Sit-down Dinner,Suburban,Low,42
Baked Goods,280,Wedding,354,All Seasons,Sit-down Dinner,Suburban,Low,23
Dairy Products,400,Birthday,350,Summer,Sit-down Dinner,Suburban,High,35
Dairy Products,300,Social Gathering,400,Winter,Finger Food,Rural,Low,20
Dairy Products,280,Wedding,480,All Seasons,Sit-down Dinner,Rural,Low,15
Baked Goods,400,Social Gathering,500,Summer,Finger Food,Suburban,High,40
Baked Goods,400,Wedding,500,All Seasons,Sit-down Dinner,Suburban,High,40
Dairy Products,300,Corporate,400,All Seasons,Finger Food,Urban,Moderate,25
Dairy Products,208,Birthday,282,Winter,Sit-down Dinner,Suburban,Moderate,22
Vegetables,230,Social Gathering,500,Summer,Sit-down Dinner,Suburban,Moderate,30
Dairy Products,220,Birthday,300,All Seasons,Sit-down Dinner,Suburban,Low,15
Dairy Products,300,Social Gathering,400,All Seasons,Buffet,Urban,Moderate,30
Dairy Products,280,Social Gathering,350,All Seasons,Finger Food,Rural,Low,20
Baked Goods,300,Social Gathering,400,Winter,Sit-down Dinner,Urban,Moderate,15
Dairy Products,400,Social Gathering,500,Winter,Sit-down Dinner,Suburban,High,50
Baked Goods,208,Social Gathering,282,Winter,Sit-down Dinner,Suburban,Moderate,22
Fruits,261,Social Gathering,350,All Seasons,Sit-down Dinner,Suburban,Moderate,23
Meat,320,Birthday,480,Winter,Buffet,Suburban,High,40
Fruits,300,Wedding,400,Winter,Buffet,Suburban,High,40
Meat,491,Birthday,497,Winter,Finger Food,Rural,High,32
Meat,220,Corporate,300,Winter,Buffet,Suburban,Low,10
Meat,275,Wedding,388,Winter,Finger Food,Rural,Low,16
Dairy Products,350,Social Gathering,450,Winter,Finger Food,Suburban,Moderate,20
Dairy Products,300,Corporate,400,Winter,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,320,Social Gathering,400,All Seasons,Sit-down Dinner,Suburban,High,35
Meat,300,Birthday,400,Winter,Buffet,Urban,Moderate,30
Meat,320,Wedding,400,Winter,Finger Food,Rural,Moderate,25
Meat,380,Corporate,480,Summer,Buffet,Suburban,Moderate,30
Meat,442,Corporate,482,Summer,Sit-down Dinner,Urban,Low,32
Baked Goods,250,Wedding,350,Winter,Buffet,Urban,Low,10
Baked Goods,250,Corporate,500,Summer,Buffet,Urban,High,40
Vegetables,300,Wedding,400,Winter,Buffet,Suburban,Low,20
Meat,250,Wedding,350,Winter,Finger Food,Rural,Moderate,20
Meat,320,Social Gathering,400,Winter,Buffet,Rural,High,30
Meat,250,Corporate,350,Winter,Sit-down Dinner,Urban,Low,20
Meat,350,Birthday,450,Winter,Sit-down Dinner,Urban,High,45
Meat,380,Wedding,500,Summer,Sit-down Dinner,Urban,High,35
Meat,400,Birthday,500,All Seasons,Finger Food,Suburban,High,40
Fruits,350,Corporate,450,Winter,Finger Food,Rural,Low,20
Vegetables,400,Wedding,500,Winter,Sit-down Dinner,Urban,High,50
Fruits,350,Wedding,450,All Seasons,Finger Food,Rural,Low,10
Fruits,250,Wedding,350,Summer,Sit-down Dinner,Urban,High,40
Fruits,280,Birthday,350,All Seasons,Finger Food,Urban,Low,15
Fruits,400,Corporate,500,Summer,Sit-down Dinner,Suburban,High,50
Meat,300,Birthday,400,Winter,Finger Food,Suburban,Moderate,25
Baked Goods,220,Corporate,300,Winter,Finger Food,Rural,Low,15
Fruits,320,Social Gathering,480,Winter,Buffet,Suburban,High,40
Meat,230,Corporate,500,All Seasons,Sit-down Dinner,Urban,Low,20
Meat,453,Corporate,484,Winter,Sit-down Dinner,Suburban,High,54
Fruits,380,Wedding,500,Summer,Sit-down Dinner,Suburban,High,35
Vegetables,320,Corporate,480,Winter,Buffet,Suburban,High,40
Meat,491,Social Gathering,497,All Seasons,Finger Food,Urban,High,32
Fruits,280,Birthday,350,Winter,Finger Food,Suburban,Moderate,20
Baked Goods,400,Wedding,500,Winter,Sit-down Dinner,Urban,Low,25
Fruits,450,Social Gathering,500,Winter,Finger Food,Rural,High,30
Vegetables,220,Corporate,300,Summer,Finger Food,Suburban,Moderate,15
Fruits,261,Corporate,350,Winter,Sit-down Dinner,Urban,Moderate,23
Fruits,220,Social Gathering,300,Winter,Finger Food,Suburban,Low,15
Meat,320,Corporate,400,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,250,Wedding,350,Summer,Sit-down Dinner,Urban,High,40
Baked Goods,220,Social Gathering,450,Summer,Finger Food,Urban,Low,20
Baked Goods,292,Wedding,470,All Seasons,Sit-down Dinner,Urban,High,50
Dairy Products,320,Corporate,400,Summer,Finger Food,Rural,Moderate,20
Dairy Products,300,Corporate,400,Winter,Finger Food,Rural,Moderate,25
Baked Goods,400,Wedding,500,Winter,Sit-down Dinner,Suburban,High,40
Baked Goods,453,Birthday,484,All Seasons,Sit-down Dinner,Rural,High,54
Baked Goods,320,Wedding,400,Summer,Sit-down Dinner,Suburban,High,35
Dairy Products,320,Birthday,400,All Seasons,Finger Food,Suburban,Low,15
Dairy Products,220,Birthday,300,All Seasons,Finger Food,Suburban,Low,15
Dairy Products,310,Social Gathering,350,Summer,Finger Food,Rural,High,35
Dairy Products,220,Corporate,300,Summer,Finger Food,Suburban,Moderate,15
Fruits,400,Social Gathering,500,All Seasons,Sit-down Dinner,Rural,High,50
Baked Goods,230,Corporate,500,All Seasons,Sit-down Dinner,Suburban,Low,30
Baked Goods,280,Birthday,350,All Seasons,Finger Food,Suburban,Moderate,20
Baked Goods,250,Wedding,350,All Seasons,Sit-down Dinner,Urban,Moderate,20
Baked Goods,397,Social Gathering,482,Winter,Sit-down Dinner,Suburban,Moderate,31
Baked Goods,300,Social Gathering,400,All Seasons,Finger Food,Suburban,Moderate,25
Baked Goods,350,Social Gathering,450,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,250,Social Gathering,350,All Seasons,Sit-down Dinner,Urban,Moderate,20
Meat,350,Corporate,450,Summer,Sit-down Dinner,Urban,High,35
Meat,320,Social Gathering,480,Winter,Buffet,Rural,High,40
Vegetables,280,Wedding,350,Winter,Finger Food,Rural,Low,20
Meat,320,Social Gathering,400,All Seasons,Buffet,Rural,High,30
Dairy Products,438,Wedding,493,Winter,Sit-down Dinner,Suburban,Moderate,35
Vegetables,412,Social Gathering,478,Summer,Sit-down Dinner,Suburban,Low,38
Dairy Products,300,Wedding,400,All Seasons,Sit-down Dinner,Suburban,High,35
Dairy Products,400,Wedding,500,All Seasons,Sit-down Dinner,Suburban,High,40
Dairy Products,350,Social Gathering,450,Winter,Finger Food,Suburban,High,30
